Title: THE FIRST ANGELS MESSAGE MLOLONGO DAY 2
Video ID: orAyQsInwGw
URL: https://www.youtube.com/watch?v=orAyQsInwGw
--------------------------------------------------

FULL TRANSCRIPT:
um [Music] [Music] [Music] [Music] a [Music] a um [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Applause] [Applause] [Music] hey [Music] [Music] [Music] [Music] [Applause] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] is [Music] [Music] [Music] you learn the name of the days uh-huh do you not know them in order can you spend them properly hey if not here are [Music] sunday is [Music] [Music] saturday is the seventh day of the week at this saturday is the seventh day of the week foreign [Music] [Music] [Music] [Music] [Music] enjoy [Music] [Applause] [Music] [Music] [Music] [Music] [Music] rafiki foreign [Music] [Music] [Music] [Music] foreign hey [Music] [Music] [Music] [Laughter] [Music] [Music] foreign [Music] [Music] [Music] foreign [Music] [Music] [Music] hey [Music] [Music] [Music] [Music] [Music] foreign [Music] [Applause] so [Music] [Music] [Music] [Music] hey [Music] foreign [Music] foreign [Music] foreign [Music] foreign [Music] [Music] [Music] everybody [Music] [Music] [Music] [Music] [Music] [Laughter] [Music] [Music] [Music] [Music] [Laughter] foreign [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] foreign [Music] [Music] [Music] foreign [Music] [Music] me [Music] [Music] united nations headquarter eastern central [Music] [Applause] [Music] [Music] [Music] foreign foreign [Music] [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] m [Music] foreign okay [Music] foreign [Music] [Music] [Applause] foreign [Music] foreign foreign [Music] [Music] foreign [Music] [Music] [Music] [Music] foreign [Music] [Music] [Music] foreign [Music] video [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] [Laughter] [Music] as well what [Music] [Music] [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] [Music] foreign [Music] [Music] out [Music] foreign [Music] foreign [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] [Applause] [Music] [Music] foreign [Music] foreign m foreign [Music] um [Music] [Music] [Applause] [Music] foreign they don't like that [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Music] so this product i think um it's it was made by mapperfield upfield i think in nairobi kenya in nairobi so this is blue bunch blue band whenever i cut the plastic that we knew before this is kind of hydrogenated [Applause] [Music] [Music] [Music] yeah um i want to do this with you to see my discovery okay so this is the blue bun so i caught it i put it in a pot with boiling water but this time around i'm gonna put it in a dish and i'm going to pour it in boiling water they say it's vegetable fat and it's very healthy it's very heavy and that's what we're going to discover okay what they say so this is boiling water [Music] i hear you [Music] like when you pour it in water it's supposed to melt are you a chinese bun doesn't melt so what is it when we when you eat this blueberry [Music] [Music] [Music] [Music] [Music] [Music] [Music] is all right it is said to be popular in a section of nakuru it turns out however that this specific brand of yogurt is nothing close to the real yogurt yes with a tail with fake yogurt it is this particular bottle of yogurt sending waves of concern in nakuru town goes by the market name optimum and produced by optimum dairy products public health officials are warned that while it is in market shares as a yogurt the product allegedly contains no drop of milk in it the health officials raided the production house of the product revealing that its ingredients include cornflour a product specially made for thickening soups sauces and gravies as well as henna a product that is used for decorating nails mostly by women [Music] [Music] [Music] foreign daniel chapter 1 verse 8. daniel chapter 1 verse 8 [Music] [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] [Music] [Music] [Music] very healthy [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] foreign [Music] you [Applause] [Music] supermarket [Music] [Music] [Applause] [Music] [Music] [Music] [Music] sausage [Applause] [Music] [Applause] [Music] [Applause] [Music] [Music] [Applause] [Music] [Music] [Applause] foreign [Applause] [Music] [Applause] [Music] [Music] [Applause] [Music] [Music] [Applause] [Music] foreign [Music] [Music] you will know a woman who has just stepped out of a salon happy with the results a woman who knows she looks good it's in the way she walks the way she looks that has caught your attention [Music] [Music] is 200 kilometers north of new delhi india india 30 year old kumar tucker and mother ganga bank tucker are having their heads the gods sacrificed his soul the conversation that is their hair is thus irrelevant as the scorching heat on their now balding heads their journeys [Music] [Music] it is this way that the people truly believe that they have given her this [Music] [Music] temple in india's andhra prada is not only considered the richest temple in the world evident even in its structure but also the world's most visited place of worship is in this holy place daily to seek favors from the gods [Music] yeah in a temple where photography is prohibited we have to pose as clueless tourists to follow the hundreds as a sign of religious devotion or humility allowing us to talk to thousands of men and women people who have no idea where their hair is going or how much it's worth but who diligently go under the shock razor with only the belief that their 75 000 kilograms of hair each year most of which is auctioned at the cost of 35 million dollars approximately 2.9 billion in numerous countries 2.9 billion [Music] [Music] [Music] [Music] [Music] [Music] foreign [Laughter] [Music] [Music] [Music] okay [Music] [Music] [Music] there is something today the holy spirit is moving now there is something today in the household there is something today [Music] [Music] [Music] [Music] [Music] foreign [Music] [Music] foreign foreign [Music] [Music] [Music] [Music] [Music] but [Music] [Music] [Applause] [Music] yes [Music] foreign [Music] [Music] foreign [Music] [Music] [Laughter] [Music] foreign [Music] [Music] [Music] [Laughter] [Music] foreign [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Applause] [Music] [Music] um [Music] foreign foreign [Music] [Music] [Music] me [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] jesus is [Music] [Applause] okay [Music] [Applause] [Music] [Applause] [Music] [Applause] [Music] [Applause] [Music] foreign [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Music] [Music] oh m [Music] [Music] foreign [Music] [Music] foreign [Music] [Laughter] [Applause] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] [Music] foreign [Music] is [Music] foreign [Music] [Music] [Music] foreign [Applause] [Laughter] [Music] come on [Applause] [Music] [Music] coca-cola [Laughter] [Music] [Music] [Music] [Music] [Music] oh welcome [Music] [Music] [Music] foreign [Music] [Music] [Music] [Music] [Music] [Music] [Laughter] [Music] foreign [Music] you [Music] [Music] [Music] [Music] [Music] 

==================================================

TIMESTAMPED TRANSCRIPT:
[98.5s] um
[174.7s] [Music]
